"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDI3NjAzMTI0NzMyMzc=","1434594242","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/465982288_10236773313939411_3149096453292721740_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=qsdVzlx6Rh8Q7kNvgEhNS2i&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AteXGITnUVqmE5KJdP2oCAw&oh=00_AYBQd5UtXJkjWcg02Ld6rRciZ8MJwtDydLDMYfdJU8AQ-A&oe=67A01678","Louise Wright","I'd love to visit the island.","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1342760312473237","2","0","2","04/18/2017 10:52:15 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDIyODkzMjkxODcwMDI=","100010526830564","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/457670792_2245678672459672_5963165788576288102_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=z-oxallsZ8MQ7kNvgGuQ9vK&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AteXGITnUVqmE5KJdP2oCAw&oh=00_AYDQ9IpLaFfhnK6LFAswH0HgNpohJuo-ihxaplJSxjR2uQ&oe=67A01FEE","Claire Dening","Deb Prentice - I think Easter Island are looking for a Designer Deb. I'd like to see this... 😁","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1342289329187002","2","0","3","04/18/2017 01:16:01 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDU5NjkzNTU0ODU2NjY=","100005021800941","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=z9R636rB8hAQ7kNvgGQHmTv&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AteXGITnUVqmE5KJdP2oCAw&oh=00_AYATxl4R6JmWgtswxw9jEkDusediBDjRW8EdI10j97-PIg&oe=67C1B1FA","Marion Murdoch","would love to be there doing ""shit"" like this - history in the making - i mean how exciting is this - awesome awesome","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1345969355485666","3","0","2","04/21/2017 09:18:40 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDE5NjE0NzU4ODY0NTQ=","100003142992420","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-1/91284443_2744918672289539_3146662675077922816_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=5r41NObHD0kQ7kNvgH9rTYB&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AteXGITnUVqmE5KJdP2oCAw&oh=00_AYDtKUhfiX22SAXpDLsSBaGZOFBguLOju3LtQKDZYV3BxA&oe=67C1C43C","Paul Broomfield","Not much has changed. Even today we hide our beer bellies.","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1341961475886454","18","0","1","04/18/2017 03:22:42 AM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDIzNzkyMzU4NDQ2Nzg=","100013045902291","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/454360271_1956694171442094_3406141528318828016_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nFvFiJ2Q-ScQ7kNvgFHJM4c&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AteXGITnUVqmE5KJdP2oCAw&oh=00_AYCPV7FBs-S2c70BT3w1ZJw-k7HIihKTP9WMQyDpu8-xLw&oe=67A030C4","Tilly Lit","i think they are to mark tombs of  Kings. Must have been full employment  on the island then,just making statues","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1342379235844678","0","0","1","04/18/2017 02:37:51 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDI1MDczMzU4MzE4Njg=","100005021800941","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=z9R636rB8hAQ7kNvgGQHmTv&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AteXGITnUVqmE5KJdP2oCAw&oh=00_AYATxl4R6JmWgtswxw9jEkDusediBDjRW8EdI10j97-PIg&oe=67C1B1FA","Marion Murdoch","WOW - love shit like this - that is so fricken neat","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1342507335831868","4","0","7","04/18/2017 05:10:27 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDM3NTM5NTIzNzM4NzM=","100004491273338","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/463337244_2745216088971407_6482348382461299309_n.jpg?stp=c101.295.180.180a_cp0_dst-jpg_s64x64_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_ohc=jwwfG7escrsQ7kNvgFGarE6&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A6-BqJdvHA2tCRp4d7JNB3L&oh=00_AYBAXjUmnQ69-ohqNYjZ_N-WKvGvBNShhmCF-woPDIOOwQ&oe=67A03783","Ana Maria","And untill now  no one knew.","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1343753952373873","1","0","1","04/19/2017 07:22:36 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDI2NDk1OTkxNTA5NzU=","100000190681777","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/322950267_2165853840282159_8636164561400747727_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=3KbvxSv5pyIQ7kNvgEXtj__&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A6-BqJdvHA2tCRp4d7JNB3L&oh=00_AYAk7zwfi_GMEe-CF8-WJjM7pvzwe97qiMugHmeQtxRQLA&oe=67A01FAF","Victor Garcia","Can't just leave shit alone huh","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1342649599150975","1","0","1","04/18/2017 08:27:52 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDI0NTIwMDI1MDQwNjg=","1044858380","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/448174694_10229654951331804_4876431977828584299_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=MDFOrU1BHCUQ7kNvgGRwllv&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A6-BqJdvHA2tCRp4d7JNB3L&oh=00_AYBJQg3DVGB3k-8_uZvksN96ByfpKqRA1s6yNet1hIvOPg&oe=67A0291D","Paulette M Murray","The statues are pretty amazing 😉","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1342452002504068","1","0","1","04/18/2017 03:57:05 PM"
"Y29tbWVudDoxMzQxOTU1MjA1ODg3MDgxXzEzNDQyODQ2Nzg5ODc0Njc=","662423847","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/457789928_10160410435783848_2659091895012736923_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=111&ccb=1-7&_nc_sid=e99d92&_nc_ohc=F4UZWnYaJzkQ7kNvgHmSXz0&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A6-BqJdvHA2tCRp4d7JNB3L&oh=00_AYD5YQkOBI2Uq7Go3KUdg4kF5lWFOXh5H0eLMbHqHZOYPg&oe=67A00AA8","Laree Claire","Awesome!!!","https://www.facebook.com/photo/?fbid=1341955205887081&set=a.146203905462223&comment_id=1344284678987467","1","0","1","04/20/2017 07:44:21 AM"
