id_dataset,id_commento,Content,ReactionsCount
1,1,See more: themindcircle.com/head-statues-have-bodies/,165
1,2,"I,ve  and my family  has been on Ester Island.  Great to see the many status. Very interesting   . Wonderful place . Amazing People 😍",1
1,3,Very interesting!!!,2
1,4,The bodies were discovered maaaaany years ago. Strange it keeps popping up as new discovery 🤔,1
1,5,This is so amazing.,0
1,6,This was discovered in the 50s. It's strange that it keeps popping up as a new discovery.,3
1,7,I've been twice on Easter Island. Great to see the many statues from nearby. Wonderful place and very nice people.,7
1,8,So so why were these statues buried that deep?? Interesting findings good work guys,5
1,9,It is funny how no one wonders why the carving of the canoe is like a 2 year Olds fridge painting and the statue is carved like fine art. I would think 2 different historical times in the life of Easter island.,4
1,10,I’d absolutely love to go to see these! 🥰🥰,0
1,11,I’ll never forget my trip to Easter island. The people were wonderful. I enjoyed it so much.❤️,16
1,12,Why is it special to suddenly realize that those moais bodies were covered with soil...if you know about basalt rock decaying...turns brown on outside caused by sun and rain...then it falls off the block of volcanic rock as clay and rock chips...then these gradually washed downwards along the mountain slopes in the process mixing with other organic matter...eventually it reaches the hillside standing moais...over hundreds of years it  gradually builds up until it reaches around the statues necks as you see before  digging..are you so stupid as not to realize that without even digging....it seems that you've just got out of the class room and then outside of the high-rise jungles...you are talking about something that is not part of your lives and not your type of culture hence your excitement over a minor aspect of something of not much significance....the is not yours ...it.is.in the people of Te Pito O Te Henua....give them the respect owed to them and their ancestors,5
1,13,Amazing!  I always wondered!,0
1,14,"My question is...
If they stood on Easter Island for eons of time...why is the body coloring not damaged ..there would have been some change to it and the elements would have damaged the whole body, not just the head ...I love archaelogy!",9
1,15,"This isn't exactly news. As early as 1914, archaeologists on Easter Island discovered that the heads of at least some of the megalithic statues, traditionally called moai, were attached to torsos. Personally, I read about this as long ago as the late1950's.",15
1,16,"Nossa, vai mudar a história e trazer mais curiosidades, se já era difícil  entender, imagina agora !!!!",7
1,17,"OSHA would be very upset with that dig. No shoring on the walls, potential cave in. However, this is awesome!!!",63
1,18,"Reminds me of finding my 5x great grandmothers lost inscription.  The stone is from 1789 and had sunk five feet by 1864 when every inscription that could be read were recorded.  He husbands, now worn away, was, but nothing for her.",1
1,19,Oh I’d love to do something like that!,19
1,20,"I think as you are trying to recreate the walking of the statues to show how they got moved, I think the (recently discovered finds that confirms) it is being overlooked that the beings during that day were 30 - 40 feet tall and most likely very heavy people, were unlike 5'-10"" - 6'-8"" being to 180 lbs being of today.  It's possible, they just carried the statues to the place they needed to go.",14
1,21,Amazing how much dust falls on the earth to bury these statutes so deeply  . . . Truly amazing to me.,36
1,22,Thank-you so much.  Incredible.,4
1,23,amazing that there are no other big stones around near by how where the stones brought there,4
1,24,That’s awesome I’ve always been intrigued with Easter Island,46
1,25,Isso é incrível eu espero que descubra todas as estatuas é mostre essa maravilha para todos do mundo inteiro estamos ansiosos é que seja muito breve ❤️🇧🇷,6
1,26,Very interesting.good job,22
1,27,Bravo à vous tous pour votre Courage. C'est vraiment super cette découverte. Merci pour le partage,17
1,28,Truly amazing. Our true world mega history slowly is being reveled. Can you imagine what they will show us when the true secrets of the Pyramids and the Spinx are finally relieved. We will someday break the 11k BC wall.,28
1,29,The original garden gnome.,97
1,30,Would love to know what the carvings in the stone represent !!,15
1,31,Wow what a find !!I watched Good morning America when Micheal Strahan was there what a beautiful place and amazing people!,8
1,32,And if I am not mistaken.that looks like a boombox on its back,3
1,33,outstanding and total amazing. would love to go to Easter island,39
1,34,THINK OF HOW DEEP YOU WOULD REALLY HAVE TO GO ANYWHERE ELSE ON THE ISLAND TO FIND ANYYHING FROM THAT PERIOD,10
1,35,Bonjour à tous je vois une grave erreur la personne qui est assise au fond au pied de la taille ne devrait pas être là normalement il devrait y avoir un talus pour la sécurité si le terrain s'éboule elle n'aura pas le temps de bouger. C'est arrivé malheureusement à Beugnatre à côté de Bapaume dans le Pas-de-Calais en France. Un garçon une fille âgée de 17 ans à peu près et bénévole enseveli vivant,6
1,36,We were there.  Never thought they had bodies.  What a magnificent find.  How did create them? We will never really know and why there?,36
1,37,I didn't know they played racketball!,3
1,38,Just amazing,23
1,39,I wrote about it years ago and I still don't see a forest being planted on Easter Island,14
1,40,"Great Job, but if I was working at that (or any construction company) I would have ditch boxes, or wall supports at least. That is very dangerous and deadly.",12
1,41,I currently have a Easter Island head replica in my front yard .,41
1,42,"I always suspected that I remember asking a teacher and being told not to ask stupid questions. Well that's one up yours Sir

https://scontent.fnap3-1.fna.fbcdn.net/v/t39.1997-6/106213587_953859015076456_6116743013412303382_n.png?stp=dst-png_s160x160&_nc_cat=1&ccb=1-7&_nc_sid=23dd7b&_nc_ohc=3eNNgwzQakAQ7kNvgGVcN9C&_nc_zt=26&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A33cyC0Hcfljvjv6fRxbVh6&oh=00_AYAAmIrAYR6FcEMrmnqKyZpb_NzCb4TjPFsruWQgIdbxxg&oe=67A0046B",17
1,43,"Really great to see the pics of these amazing stutues. Be safe guys, no side support and very deep vertical cut.",9
1,44,Thor Heyerdahl excavated a statue in the 1950s and published his findings in his book 'Aku Aku' in 1958 so this isn't a recent discovery.,11
1,45,Joseph Lappin I neeeed the whole thing in my garden xx,5
1,46,"And no support for the excavation, no edge protection. I guess safety isn’t an issue on Easter Island.",46
1,47,"Very impressive, so mystical.  Full marks to the intrepid diggers.  🌟🌟🌟",25
1,48,Awesome thanks!! How were they made ? Could they have been pushed into the ground? Don’t think so!,10
1,49,Wow!!  That's incredible!!,16
1,50,Wonder why it took so long before someone decided to check it out?,59
1,51,Just tip it back a bit and I'll jimmy this bungee band underneath.,11
1,52,Oh! Wow! Great you found that out in my life time.🌞,2
1,53,"Amazing, I would love to see them!",0
1,54,What happened to Erich von Däniken's Chariots of the gods? Years ago I watched a debate between him and a professor from Harvard university. He lost because myths don't count in today's reality,2
1,55,Sa fait des années que je croyais qu'il s'agit de têtes seulement,0
1,56,C’est pour nous faire comprendre qu’ils en avaient plein le dos de la bêtise humaine ! 😏🤨😉,1
1,57,This is exactly the same in my house when I look in the mirror. My head is old and haggered and the body is covered up not to expose the white floppy bits,1
1,58,I wwuld have to see it with mown eyes before I believe this  Photoshop is excellent,1
1,59,Incroyable la partie enterrée,0
1,60,A very beautiful TRICK photography. It's fake.,0
1,61,Such old crafts will help us to proof that bible is translated correctly or not by traslators.,1
1,62,"Para Mi que la tierra tenía menos tierra años atrás, todas las estatuas o casi todas las estatuas y/u  piedras, tumbas, ruinas, pirámides, ciudades casi enteras bajo tierra,  siempre lo he pensado desde que era un niño, pero Mis maestres Me tentaron por un niño de mucha imaginación...",1
1,63,"Incredible.  Would love to see this place and many other unexplained wonders, some day.",0
1,64,"To everyone that’s interested in Easter island, read books written by Dr John Loret. He was a friend of mine who passed away maybe 10 years ago. I think he was one of the worlds experts on Easter island. ￼",0
1,65,Good lord.....!!!,0
1,66,"Eu sempre pesei isso
Demoraram muito pra escavarem e descobrirem

https://scontent.fnap3-2.fna.fbcdn.net/v/t39.1997-6/330811743_1398609210978148_6488027312609750130_n.webp?stp=dst-webp_tf0-1&_nc_cat=110&ccb=1-7&_nc_sid=72b077&_nc_ohc=4EDkpsqxT8wQ7kNvgE6ZUgu&_nc_zt=26&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A2TeKuugcqZMi4t5Bi6nLqr&oh=00_AYB5Tdw0Ng6halUdqzycHy4QiFgDI7xKAn-ofKhaW9G62w&oe=67A00EAA",0
1,67,"Gente isso não é uma descoberta rescente, a arqueologia descobriu isso a Anos, não seria um trabalho muito inteligente ver as estatuas e não ter escavado em volta.",0
1,68,I can’t understand why this type of article keeps circulating. Most of the statues aren’t buried and never have been buried. People have always known they were full bodies. This is incorrect information.,0
1,69,Very interesting!!!!,0
1,70,I didn't know that!,0
1,71,and it was discovered just now... How come it was not known until now.... how strange,0
1,72,"Absolutely beautiful !    Gotta love the history of our planet. !
Please don’t let the IDIOTS near it that have destroyed the American history in the form of removal or total destruction.  ——-All without ACCOUNTABILITY.",0
1,73,I just want to know how they were able to make these an so many that size . Amazing,0
1,74,"If you see these, go see the Tera Cotta Warriors.  Literally thousands of them, and not one is a duplicate.  All different down to finger nails and shoes.  Circa 210 BC.  Horses, chariots, warriors, cooks archers etc.",1
1,75,Was that depth of soil deposited by weather to a height of roughly 15 to 20 feet since they were originally erected? Or did the dig soil extraction follow an old rectangular hole that they dug to part-bury the statues?,0
1,76,"Were once above ground, tectonic movement/ volcanic activity buried them???",0
1,77,"É, somos muito mais antigos por esta Terra!!!",0
1,78,I love the carvings!,0
1,79,All those ladies still smiling and know how cold they just made him and gents are loving how quickly they dug him out and how work hard the women worked🤣🤣,0
1,80,A lifelong fascination. Great shot. 🎶❤️🎶,0
1,81,I like how we can how the statues would have looked like in their prime with their surface untarnished by time. Very very cool indeed!,0
1,82,This is astounding -- but not really -- but it is.  HOW did that much earth get piled up?  Were the statues 'buried' partially?,1
1,83,"Amazing! Thank you for sharing, son. ❤️",0
1,84,"I often wonder if they have always been buried and once used to sit on the surface, and were buried over time ???  ￼",0
